Filing Date,Fund Name,Fund CIK,Accession Number,Filing URL,Name of Issuer,Title of Class,CUSIP,FIGI,Value Raw ($000s),Value ($000s),Shares/Principal Amount Raw,Shares/Principal Amount,SH/PRN,Put/Call,Investment Discretion,Other Manager,Other Managers (raw),All Columns (raw),Voting Authority - Sole,Voting Authority - Shared,Voting Authority - None
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,GRAY TELEVISION INC,COM,389375106,,,,3760000,3760000,SH,,SOLE,,,"(to the nearest dollar): 33,690; ",3760000,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,HERBALIFE LTD,COM SHS,G4412G101,,,,1679799,1679799,SH,,SOLE,,,"(to the nearest dollar): 25,634; ",1679799,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,JACOBS SOLUTIONS INC,COM,46982L108,,,,727786,727786,SH,,SOLE,,,"(to the nearest dollar): 94,467; ",727786,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,,,,833696,833696,SH,,SOLE,,,"(to the nearest dollar): 102,545; ",833696,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY GLOBAL LTD,COM CL A,G61188101,,,,7194276,7194276,SH,,SOLE,,,"(to the nearest dollar): 127,842; ",7194276,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY GLOBAL LTD,COM CL C,G61188127,,,,42311011,42311011,SH,,SOLE,,,"(to the nearest dollar): 788,677; ",42311011,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,,,,1899547,1899547,SH,,SOLE,,,"(to the nearest dollar): 69,428; ",1899547,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,,,,718270,718270,SH,,SOLE,,,"(to the nearest dollar): 26,856; ",718270,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S A,531229813,,,,8177656,8177656,SH,,SOLE,,,"(to the nearest dollar): 235,026; ",8177656,0,0
2024-02-13,Baupost Group (Seth Klarman),1061768,0001567619-24-000192,https://www.sec.gov/Archives/edgar/data/1061768/000156761924000192/0001567619-24-000192-index.htm,LIBERTY MEDIA CORP DEL,COM LBTY SRM S C,531229789,,,,14851048,14851048,SH,,SOLE,,,"(to the nearest dollar): 427,413; ",14851048,0,0
